# board	channel	time[ps]	E	E_calib	E_short	Flag	board	channel	time[ps]	E	E_calib	E_short	Flag
0.00	0.00	12937728288000.00	195.00	136.72	22.00	nan	0.00	1.00	12937728292000.00	201.00	212.96	29.00	nan
0.00	0.00	13020369224000.00	316.00	221.56	27.00	nan	0.00	1.00	13020369224000.00	459.00	486.31	45.00	nan
0.00	1.00	13060425456000.00	416.00	440.75	49.00	nan	0.00	0.00	13060425480000.00	54.00	37.86	11.00	nan
0.00	0.00	13142340348000.00	657.00	460.65	47.00	nan	0.00	1.00	13142340356000.00	248.00	262.76	33.00	nan
0.00	1.00	13170173428000.00	325.00	344.34	30.00	nan	0.00	0.00	13170173456000.00	74.00	51.88	15.00	nan
0.00	1.00	13243610920000.00	451.00	477.83	50.00	nan	0.00	0.00	13243610928000.00	197.00	138.12	22.00	nan
0.00	0.00	13472469352000.00	477.00	334.44	40.00	nan	0.00	1.00	13472469356000.00	328.00	347.52	40.00	nan
0.00	1.00	13576767272000.00	524.00	555.18	51.00	nan	0.00	0.00	13576767280000.00	263.00	184.40	29.00	nan
0.00	1.00	13720263044000.00	220.00	233.09	29.00	nan	0.00	0.00	13720263044000.00	150.00	105.17	16.00	nan
0.00	0.00	13776628720000.00	134.00	93.95	18.00	nan	0.00	1.00	13776628732000.00	118.00	125.02	23.00	nan
0.00	0.00	14078091836000.00	1456.00	1020.86	124.00	nan	0.00	1.00	14078091852000.00	138.00	146.21	19.00	nan
0.00	1.00	14173847588000.00	515.00	545.64	51.00	nan	0.00	0.00	14173847592000.00	250.00	175.28	26.00	nan
0.00	1.00	14213628284000.00	282.00	298.78	32.00	nan	0.00	0.00	14213628292000.00	122.00	85.54	17.00	nan
0.00	1.00	14221993144000.00	407.00	431.22	40.00	nan	0.00	0.00	14221993148000.00	145.00	101.67	20.00	nan
0.00	1.00	14260113928000.00	362.00	383.54	40.00	nan	0.00	0.00	14260113992000.00	40.00	28.05	15.00	nan
0.00	1.00	14330751812000.00	614.00	650.53	62.00	nan	0.00	0.00	14330751832000.00	87.00	61.00	16.00	nan
